date,average_UF_minus_FINE,max_UF_minus_FINE,min_UF_minus_FINE,p25_UF_minus_FINE,p50_UF_minus_FINE,p75_UF_minus_FINE
3/9/2023,18.33658697,111.13452,0.019165039,4.7246094,11.269104,28.936646
3/10/2023,102.577556,1840.4567,1.0887451,12.32458475,31.887146,64.06216525
3/11/2023,32.73470759,1032.2322,0.026855469,9.39883425,15.5351565,26.24469025
3/12/2023,127.1118573,1037.3314,0.013061523,6.623169,18.238281,244.438845
3/13/2023,607.521048,6254.7114,2.1706543,37.1248775,53.81299,97.49585
3/14/2023,63.98923386,377.6416,0.38549805,24.124878,39.0373535,78.0266125
3/15/2023,17.84456195,83.336426,0.049072266,9.454407,16.0928955,24.00579825
3/16/2023,30.9192032,279.15942,0.1305542,11.092529,20.411133,41.132935
3/17/2023,90.85962222,535.7988,0.02078247,13.491333,23.024658,170.09619
3/18/2023,675.8006858,2877.2407,6.8914795,29.17738375,193.563935,1317.7056
3/19/2023,252.551791,3697.3164,7.6221924,31.1135255,44.487366,112.8366725
3/20/2023,84.66648182,816.52075,13.55127,38.6559435,52.6905515,71.26709
3/21/2023,35.0140983,105.90991,5.605957,20.566223,30.33252,46.38830425
3/22/2023,136.6252891,1400.1982,24.829102,61.405884,93.57764,132.443725
3/23/2023,39.00967938,288.60144,1.3566895,17.56713825,25.3341065,55.95593275
3/24/2023,19.40546321,560.9772,0.024169922,4.361023,8.429199,15.47583
3/25/2023,143.7165087,2998.6987,0.5205078,8.637573,16.51294,93.598875
3/26/2023,30.37581193,94.75391,0.67871094,15.866943,29.461548,46.063232
3/27/2023,283.1949085,2335.7705,1.2841797,26.083435,42.8342285,166.5011
3/28/2023,38.00692035,673.6699,1.3520508,13.07348625,21.4683835,55.826172
3/29/2023,154.1888607,2204.5425,16.239746,33.130675,56.267456,97.26739375
3/30/2023,32.03132459,93.79004,4.954468,21.313873,31.151489,41.365967
3/31/2023,271.4462184,2333.3604,12.67749,65.355285,128.90167,326.318115
4/1/2023,322.7167291,1965.3135,4.434143,33.23330725,99.645752,338.28824
4/2/2023,125.85038,771.8076,29.639893,55.97284,76.2476825,166.9597125
4/3/2023,161.591371,2090.892,20.113281,49.731445,81.470215,126.954346
4/4/2023,114.9098484,732.4707,16.355225,47.3909915,60.183838,106.800415
4/5/2023,505.4064958,4607.619,10.482666,27.7284775,207.24707,488.8103
4/6/2023,666.1958841,2631.268,4.916992,99.86133,213.224365,1078.9291
4/7/2023,323.9137,2272.1743,23.082031,79.131836,107.476074,430.75293
4/8/2023,157.9295033,683.5415,21.840088,56.246582,73.11035,204.72046
4/9/2023,42.26056675,88.440186,17.956787,31.181885,40.92871,49.204346
4/10/2023,54.74411705,1062.6143,22.97876,35.7980345,43.797852,58.9990245
4/11/2023,105.5708058,610.05176,24.409912,48.66802975,63.729736,91.7304675
4/12/2023,78.0998187,505.08667,30.031494,47.8701775,59.12671,79.02246
4/13/2023,54.35486301,106.03076,18.30774,36.7626965,51.69873,70.24664125
4/14/2023,90.87323488,2555.0256,31.323242,55.330445,65.4082,112.09375
4/15/2023,53.99499246,593.22095,4.2889404,16.279884,32.467194,56.88128675
4/16/2023,406.9495287,2483.9932,4.8967285,32.260834,74.64624,444.64258
4/17/2023,215.5270939,2103.0342,22.760742,113.045655,143.16455,185.863035
4/18/2023,66.79679733,142.13184,23.902466,41.79962125,60.2565915,84.9510505
4/19/2023,112.4319112,363.1958,38.291504,64.3141475,75.981325,146.466555
4/20/2023,283.1593014,2560.7866,49.468506,84.901123,132.28845,278.9560575
4/21/2023,357.3507859,1541.4927,25.506348,75.72565,139.80835,581.410835
4/22/2023,355.9792396,1733.6406,7.7453003,47.0377505,123.062255,507.9428725
4/23/2023,560.7900723,3388.731,25.524658,66.80090125,136.200685,254.6503925
4/24/2023,74.70946714,262.12744,29.375732,51.46875125,65.8912355,81.6412975
4/25/2023,81.75574342,503.06787,25.02124,59.116761,70.09729,84.3939225
4/26/2023,70.18882866,398.21948,21.470459,37.600891,48.2593995,66.640349
4/27/2023,26.28305221,75.66284,3.8916016,14.313934,23.7161865,33.104645
4/28/2023,26.62419285,924.7634,6.282837,14.2144165,19.579712,27.829651
4/29/2023,151.8489102,678.4404,14.051025,29.9307865,64.48242,197.374515
4/30/2023,208.274135,3252.474,31.766602,43.1900635,91.825195,174.675045
5/1/2023,271.2690071,2452.646,6.125,73.9115605,87.36548,143.9645975
5/2/2023,288.3128565,3154.0767,18.176758,70.71582,99.34082,133.47754
5/3/2023,287.8370079,2858.1,34.188477,50.1882325,65.21973,220.96509
5/4/2023,54.95730244,222.58105,23.211182,41.081848,50.85266,63.70495575
5/5/2023,49.45448287,1448.3292,17.0979,29.51477025,37.943238,51.6720585
5/6/2023,124.6713587,669.85205,30.598389,50.756715,90.9834,136.6237175
5/7/2023,133.471312,1156.8442,26.8042,52.44738775,70.13074,120.38489
5/8/2023,208.414556,3691.7822,34.181763,82.46814,103.662842,160.7377325
5/9/2023,76.20118292,692.45215,23.35852,42.82635625,56.2613525,72.07483
5/10/2023,89.17638388,609.1638,29.90271,59.81164575,74.939208,96.7131975
5/11/2023,73.64124348,810.6633,17.0896,47.4565725,57.922119,76.449769
5/12/2023,127.0840578,2148.144,15.619385,63.45947275,73.53479,89.7502445
5/13/2023,192.7769225,2165.1675,15.388672,79.81128,161.05322,201.2583
5/14/2023,125.9358315,1829.8644,25.710938,65.8562615,90.350097,135.3953525
5/15/2023,27.01240807,111.30383,4.109665,12.0247115,21.1070865,41.91868575
5/16/2023,20.31488429,147.66779,8.289978,15.13490275,19.094864,23.3827895
5/17/2023,65.1977047,444.77283,19.891235,33.120667,46.016235,79.5387575
5/18/2023,102.7427173,451.83838,42.916748,64.15146,86.742003,122.1518525
5/19/2023,82.00830557,1001.0961,11.533203,45.055664,53.629395,72.71326
5/20/2023,303.3107154,3157.7964,25.549683,49.93206775,142.34009,201.20227
5/21/2023,101.4260947,200.45386,49.737793,76.2628775,97.28845,117.2373655
5/22/2023,58.10839084,252.52417,22.794678,38.083495,51.4423825,70.519409
5/23/2023,47.32565311,358.93213,17.045654,35.05651875,41.6872565,51.346985
5/24/2023,75.52326188,597.58594,16.032349,37.59908925,53.5835575,79.3502825
5/25/2023,62.679274,324.83496,21.111938,42.69659575,58.7838135,73.58246
5/26/2023,88.70819841,2125.197,22.592163,46.42395,76.254395,99.327393
5/27/2023,71.46858511,181.5105,24.30127,40.17700175,58.232665,85.02362
5/28/2023,66.4345966,499.32178,23.807129,50.70599375,61.2397465,72.776612
5/29/2023,81.68592838,384.19238,25.998047,42.64001475,57.831665,100.6007975
5/30/2023,122.8621483,2511.0566,39.58362,67.525207,90.307985,121.3192125
5/31/2023,110.9375105,1458.6016,28.56958,54.47811875,71.331422,96.4263925
6/1/2023,76.15784407,407.15894,13.935791,43.2514645,63.09265,82.357115
6/2/2023,102.5790849,1535.3989,26.427612,41.7205825,63.614441,112.2411175
6/3/2023,133.0050266,1333.0967,29.006409,48.82134975,82.34436,146.29666
6/4/2023,99.76335665,501.7036,23.408203,48.123474,68.858948,97.525725
6/5/2023,47.25578986,303.57935,15.755859,28.17636175,35.377075,44.87350575
6/6/2023,71.56904925,1885.75,13.526794,31.35287475,38.522644,57.434906
6/7/2023,64.82467825,526.85693,12.705322,26.85342425,39.18683,74.86389375
6/8/2023,143.2500078,1217.0564,18.805054,35.38754175,56.8126215,102.8229975
6/9/2023,121.7054257,1505.6461,25.075684,61.767334,83.23169,135.74951
6/10/2023,155.1575096,1955.9236,22.951355,54.652772,82.61792,184.631835
6/11/2023,108.7434567,1115.3125,12.62793,39.53353875,52.9345705,84.90637375
6/12/2023,52.76371269,195.9895,0.16064453,34.181275,46.5375975,66.3413375
6/13/2023,63.88013431,261.94922,0.08081055,19.984375,53.92212,97.0671995
6/14/2023,162.3611538,1482.5923,0.034179688,14.4795225,30.5655515,149.208805
6/15/2023,149.4775733,1355.9756,0.8774414,25.71813975,53.390076,138.35437
6/16/2023,84.14357947,1956.3041,0.04248047,6.750366,34.0542,73.23657
6/17/2023,176.2947636,1148.1401,0.6644287,30.16626,64.84375,252.71509
6/18/2023,44.64348329,659.60815,0.7294922,9.096436,16.04004,32.296387
6/19/2023,62.52899073,757.89844,0.033935547,7.43872075,17.04126,54.8513185
6/20/2023,34.25080213,80.18799,0.22558594,9.1506345,30.519531,55.2606195
6/21/2023,51.52429784,318.18896,0.08691406,13.288727,28.850586,72.158142
6/22/2023,38.01372058,169.87256,0.115722656,19.261902,27.3355715,40.54132125
6/23/2023,77.20216314,2336.3684,0.26489258,7.59930425,19.6884765,29.989868
6/24/2023,20.386719,20.386719,20.386719,20.386719,20.386719,20.386719
6/26/2023,115.8710928,599.59326,0.35595703,18.873749,71.3375875,163.1872525
6/27/2023,66.60493985,626.44824,0.109375,17.109619,34.93335,92.254395
6/28/2023,32.77429182,160.4292,1.5874023,13.941803,24.040283,42.14508025
6/29/2023,79.91198953,530.21045,7.071289,19.904785,47.889893,90.359985
6/30/2023,113.42848,2201.855,0.5616455,7.8955079,29.848022,89.0268555
7/1/2023,296.982855,1488.9404,0.18286133,38.418823,189.47485,476.469725
7/2/2023,473.5119552,1752.4033,0.05493164,53.452393,230.77148,802.6699
7/3/2023,14.10318565,72.686646,0.18676758,3.125320425,7.51409925,22.3274845
7/4/2023,59.7580876,120.58472,0.7097168,27.585449,56.872315,85.22052
7/5/2023,96.68218345,1135.0215,0.048461914,13.08227525,43.6752315,103.84871
7/6/2023,29.89721347,227.12305,0.005004883,12.3665165,23.715332,42.767944
7/7/2023,64.59322248,895.2488,0.8183594,14.8092655,35.518555,73.32675125
7/8/2023,40.98327748,451.187,0.45703125,10.78350863,24.9507445,50.83441175
7/9/2023,34.47408884,223.1753,0.000488281,6.4455566,18.92041,50.770386
7/10/2023,61.70969499,414.8567,0.47485352,13.153809,36.3396,97.05542
7/11/2023,34.54645274,219.65771,0.007080078,15.9838255,31.068848,43.8938595
7/12/2023,15.14365079,105.35889,0.5541992,5.706726075,10.8675535,19.6600345
7/13/2023,26.37410445,619.8491,0.2434082,5.64562985,11.237793,17.2813715
7/14/2023,59.2456102,1642.7765,0.16479492,10.659302,26.664062,51.96997
7/15/2023,25.15532119,102.989746,0.000244141,4.9260254,17.599365,42.96472
7/16/2023,156.6649295,2595.8225,0.041259766,3.2734985,12.209717,34.69488425
7/17/2023,41.68527105,274.7798,0.033691406,19.447449,35.6024165,61.70178075
7/18/2023,109.29357,1001.3096,0.19329834,16.6328125,35.55664,120.433715
7/19/2023,140.0464926,1045.1895,0.6694336,18.40393025,57.6833485,209.9101575
7/20/2023,72.65584654,1438.2794,0.114746094,18.28955,48.703613,89.71826
7/21/2023,75.46635579,665.9419,0.08755493,6.0311508,17.288635,45.1193525
7/22/2023,28.19486453,471.21704,0.002441406,1.467300425,3.39562985,9.92346225
7/23/2023,51.94194601,677.4088,0.30407715,2.96240235,14.071594,65.816375
7/24/2023,26.65061793,77.09473,0.28564453,8.1740725,19.015015,36.9053955
7/26/2023,9.916137667,14.036133,4.514282,7.85614,11.197998,12.6170655
7/28/2023,5.248520763,27.380798,0.002197266,2.1923828,4.434204,5.666321
7/29/2023,43.2582528,136.44434,0.02709961,12.129883,27.91919,62.019287
7/30/2023,5.026001025,7.516968,0.8959961,4.234466525,5.84552,6.6370545
8/3/2023,6.100723371,20.141602,0.21313477,2.958923325,3.9196167,6.481140225
8/4/2023,47.42560691,289.70084,3.3125,5.928833,8.866699,42.695099
8/5/2023,71.57090832,516.55664,0.40161133,7.84845,23.81128,48.706544
8/6/2023,155.5144952,1293.8728,0.1373291,6.34082035,25.901001,140.4153475
8/7/2023,143.9633417,559.6211,1.9281006,37.34143,106.08252,228.87329
