date,average_UF_minus_FINE,max_UF_minus_FINE,min_UF_minus_FINE,p25_UF_minus_FINE,p50_UF_minus_FINE,p75_UF_minus_FINE,geometric_mean_daily_mean_nm,geometric_std_daily_mean_nm,geometric_mean_smallest_25pct_daily_mean_nm,geometric_mean_smallest_50pct_daily_mean_nm,geometric_mean_smallest_75pct_daily_mean_nm,geometric_std_smallest_25pct_daily_mean_nm,geometric_std_smallest_50pct_daily_mean_nm,geometric_std_smallest_75pct_daily_mean_nm,label_code,label_class,event_class,is_event
2/12/2023,308.6437947,2206.4883,0.66748047,24.665405,68.530152,189.0750725,46.28866324,2.08207986,28.70295832,36.6612778,41.83562959,1.937833341,1.999424661,2.041171295,b,Class II,event,1
2/13/2023,370.629084,3695.2446,0.030761719,16.615845,61.086914,573.36475,61.82572922,1.982902774,50.69455544,55.27799998,58.81685647,1.879055553,1.910902776,1.942384255,n,nonevent,non_event,0
2/14/2023,177.7090274,1292.9219,6.51416,44.00537125,61.041992,155.0050675,51.0465799,2.001184026,24.43093048,34.92022214,44.04597682,1.760777771,1.859437497,1.936852531,b,Class II,event,1
2/15/2023,24.83956541,105.483154,0.13916016,8.63897725,19.371948,35.8697205,70.7599237,2.263864579,49.37294446,55.28980557,62.9985418,2.06512499,2.138319439,2.192435179,n,nonevent,non_event,0
2/16/2023,15.02476182,293.6162,0.024658203,3.2837524,6.0371094,11.850098,64.59586814,2.317302083,41.70551395,45.70768738,52.737338,2.010249999,2.11077083,2.211537034,n,nonevent,non_event,0
2/17/2023,411.622145,3120.4165,0.15185547,41.38391,267.15625,664.80688,42.68844607,2.069714283,31.64008347,35.16703489,37.53618152,1.807152783,1.913784728,1.9807907,b,Class II,event,1
2/18/2023,79.75001012,176.6914,17.169678,53.0683595,72.6809075,110.3156738,44.4788541,2.09032292,39.23506938,41.30188195,42.79157405,2.017458344,2.036786212,2.060087562,u,undefined,non_event,0
2/19/2023,538.028132,2869.706,19.766602,97.9407365,235.90076,783.1763225,42.85340622,2.015034721,34.45986115,38.22461802,40.79656941,1.937095887,1.954751725,1.976175926,u,undefined,non_event,0
2/25/2023,10.23735001,205.7207,0.03564453,1.38659665,3.1719971,5.73477175,83.64203458,1.942656245,70.77033329,76.08389579,80.11272671,1.851361109,1.895158616,1.920488475,n,nonevent,non_event,0
2/26/2023,16.28776836,155.79126,0.06640625,7.5256958,12.242676,19.020935,85.69792023,2.062774295,62.4625002,73.49885419,79.59608811,1.877138891,1.959648269,2.012374992,n,nonevent,non_event,0
2/27/2023,305.3296568,2009.773,20.4375,67.0791625,167.127135,410.7511625,34.35811114,1.928027773,20.44691663,24.13618056,30.15673614,1.696213331,1.758958332,1.841801842,e,Class I,event,1
2/28/2023,136.2559729,960.80566,17.013184,79.9458,108.8833,146.31934,34.90982289,1.833927085,26.28847228,28.62733334,31.49173149,1.591805559,1.712298613,1.767703703,u,undefined,non_event,0
3/1/2023,576.9077083,3700.3115,27.091797,91.35668875,160.874635,544.49105,34.30821524,1.973142357,25.54795835,27.7162569,30.86356475,1.818813337,1.858368057,1.91298148,u,undefined,non_event,0
3/2/2023,73.26298013,291.84155,8.020508,35.51568675,62.3818365,94.99981625,52.90400699,2.025552089,43.51002765,47.51974301,50.37502779,1.865263889,1.930409726,1.968717599,n,nonevent,non_event,0
3/3/2023,595.3451903,2930.2432,0.1340332,17.1846315,237.46655,899.3348375,46.36379101,2.241114975,22.95970835,28.05137504,36.9187024,1.859847224,2.026673607,2.147967437,e,Class I,event,1
3/4/2023,113.460853,758.3877,3.5541992,27.2177125,47.5184325,130.6190175,54.08278128,2.112368052,42.09722217,45.73335425,49.05676388,1.95452777,1.990798607,2.046672806,u,undefined,non_event,0
3/5/2023,139.3767387,1117.6992,0.64208984,19.209473,28.091309,163.74658,57.07171521,2.076520833,41.59118064,47.7939375,53.21905551,1.891780824,1.944451384,2.011930873,b,Class II,event,1
3/6/2023,146.663186,971.3169,1.3037109,24.31286625,58.53589,112.7559825,71.83855902,2.086076399,56.69963879,62.48132653,67.78263431,1.944851365,1.994951405,2.038375015,n,nonevent,non_event,0
3/7/2023,34.46512499,381.5016,0.023925781,10.9276735,21.71997,41.6747435,85.87862831,2.40892361,73.66131965,79.11120141,82.91313409,2.256638885,2.312110335,2.360166664,n,nonevent,non_event,0
3/8/2023,11.8177382,50.196045,0.0423584,4.3797607,9.085327,15.860718,100.2313714,2.26570486,76.87070804,86.47808303,93.30607859,2.059041084,2.104381943,2.171851852,n,nonevent,non_event,0
3/9/2023,18.33658697,111.13452,0.019165039,4.7246094,11.269104,28.936646,98.83322225,2.170736108,75.26612491,83.2889374,91.36961583,1.916944444,2.007229166,2.070516124,n,nonevent,non_event,0
3/10/2023,102.577556,1840.4567,1.0887451,12.32458475,31.887146,64.06216525,74.51689491,2.307790211,48.74177761,60.60585986,66.50399516,1.921424668,2.080958047,2.200316283,u,undefined,non_event,0
3/11/2023,32.73470759,1032.2322,0.026855469,9.39883425,15.5351565,26.24469025,77.68934022,2.190611112,62.6152082,66.55220816,72.19692121,2.019749992,2.076798615,2.122648152,n,nonevent,non_event,0
3/12/2023,127.1118573,1037.3314,0.013061523,6.623169,18.238281,244.438845,70.45919105,2.447576392,39.35493064,48.52774317,60.46529172,2.236616455,2.29134484,2.355287042,u,undefined,non_event,0
3/13/2023,607.521048,6254.7114,2.1706543,37.1248775,53.81299,97.49585,41.17204856,2.281833334,36.863833,37.9951041,39.35818515,2.056555558,2.122819446,2.191166663,u,undefined,non_event,0
3/14/2023,63.98923386,377.6416,0.38549805,24.124878,39.0373535,78.0266125,61.83922231,2.124045134,48.22804144,51.67067358,56.62699083,1.999930552,2.036173613,2.076064514,n,nonevent,non_event,0
3/15/2023,17.84456195,83.336426,0.049072266,9.454407,16.0928955,24.00579825,73.02242001,2.017062501,64.65047201,68.35308324,70.65150452,1.841821915,1.893666666,1.953259257,n,nonevent,non_event,0
3/16/2023,30.9192032,279.15942,0.1305542,11.092529,20.411133,41.132935,71.74097584,2.155135414,48.76329194,58.547778,64.63770388,1.89465753,1.9673125,2.039972219,n,nonevent,non_event,0
3/17/2023,90.85962222,535.7988,0.02078247,13.491333,23.024658,170.09619,35.37511454,2.024576386,22.48299996,26.75029854,30.51965278,1.870452051,1.929791662,1.971546293,e,Class I,event,1
3/18/2023,675.8006858,2877.2407,6.8914795,29.17738375,193.563935,1317.7056,47.91166314,2.341788187,24.88059735,32.50779866,39.08554165,2.106208323,2.194673594,2.268583323,b,Class II,event,1
3/19/2023,252.551791,3697.3164,7.6221924,31.1135255,44.487366,112.8366725,42.51527075,2.164420133,27.7859443,35.05445827,39.0845184,1.930972612,2.028173611,2.097791664,u,undefined,non_event,0
3/20/2023,84.66648182,816.52075,13.55127,38.6559435,52.6905515,71.26709,57.31138892,2.003531245,52.16563887,54.13333331,55.48606484,1.951777778,1.970201386,1.986137611,n,nonevent,non_event,0
3/21/2023,35.0140983,105.90991,5.605957,20.566223,30.33252,46.38830425,64.27996858,2.193315966,48.48601384,55.95468738,60.578773,1.933626664,1.991724138,2.084529951,u,undefined,non_event,0
3/22/2023,136.6252891,1400.1982,24.829102,61.405884,93.57764,132.443725,46.09367006,2.196208335,31.46605561,37.73877769,42.3367962,2.018541671,2.122298615,2.169163639,b,Class II,event,1
3/23/2023,39.00967938,288.60144,1.3566895,17.56713825,25.3341065,55.95593275,84.02557769,2.161757783,65.6489725,71.73803453,77.61403667,1.827835612,1.97015862,2.073714285,n,nonevent,non_event,0
3/24/2023,19.40546321,560.9772,0.024169922,4.361023,8.429199,15.47583,94.02012742,2.158522968,75.44271851,81.92114827,86.36433058,1.857436615,1.990922531,2.074962265,n,nonevent,non_event,0
3/25/2023,143.7165087,2998.6987,0.5205078,8.637573,16.51294,93.598875,60.37664932,2.229906251,40.22413898,48.06836114,54.44163883,2.087611117,2.142479172,2.175847224,u,undefined,non_event,0
3/26/2023,30.37581193,94.75391,0.67871094,15.866943,29.461548,46.063232,65.03545821,2.189958338,35.43243045,43.07832621,56.29699978,2.043875002,2.083034486,2.122212968,u,undefined,non_event,0
3/27/2023,283.1949085,2335.7705,1.2841797,26.083435,42.8342285,166.5011,71.23495826,2.203993054,38.29774986,50.89783315,60.73097216,1.979083343,2.050493058,2.114833334,b,Class II,event,1
3/28/2023,38.00692035,673.6699,1.3520508,13.07348625,21.4683835,55.826172,84.81913896,1.986100694,67.25956943,73.26633334,79.11610167,1.789444447,1.850972415,1.910671296,n,nonevent,non_event,0
3/29/2023,154.1888607,2204.5425,16.239746,33.130675,56.267456,97.26739375,68.66302435,2.239145829,58.19154157,60.83738883,63.14612505,2.046236108,2.144427577,2.194550454,u,undefined,non_event,0
3/30/2023,32.03132459,93.79004,4.954468,21.313873,31.151489,41.365967,87.1823194,1.986295139,77.84788905,81.25467343,84.12786569,1.895833335,1.919375002,1.944412037,n,nonevent,non_event,0
3/31/2023,271.4462184,2333.3604,12.67749,65.355285,128.90167,326.318115,53.01674569,2.062613241,23.14630561,26.95718057,38.53633489,1.774555557,1.902506944,1.979274423,u,undefined,non_event,0
4/1/2023,322.7167291,1965.3135,4.434143,33.23330725,99.645752,338.28824,47.52140632,2.228006945,28.02372217,34.59474309,39.66338898,1.884097227,2.002750002,2.092953705,b,Class II,event,1
4/2/2023,125.85038,771.8076,29.639893,55.97284,76.2476825,166.9597125,56.61330561,2.119322915,47.22848606,50.68098606,53.25425929,2.006369865,2.03609028,2.075202768,b,Class II,event,1
4/3/2023,161.591371,2090.892,20.113281,49.731445,81.470215,126.954346,50.91618399,1.987684028,36.15990268,38.59487491,43.45918046,1.580763885,1.721854166,1.869013886,b,Class II,event,1
4/4/2023,114.9098484,732.4707,16.355225,47.3909915,60.183838,106.800415,78.31879171,2.291499997,36.5021806,56.42122922,69.15963435,2.072583334,2.153638886,2.212995367,b,Class II,event,1
4/5/2023,505.4064958,4607.619,10.482666,27.7284775,207.24707,488.8103,35.76277781,2.009329862,18.69654163,20.44515971,26.37501393,1.559736118,1.664326391,1.850407408,e,Class I,event,1
4/6/2023,666.1958841,2631.268,4.916992,99.86133,213.224365,1078.9291,53.27178457,2.131826385,30.36188883,35.28881939,40.63897212,1.840013885,1.944451382,2.048258063,b,Class II,event,1
4/7/2023,323.9137,2272.1743,23.082031,79.131836,107.476074,430.75293,68.01945653,2.031658538,35.45480535,45.20707635,55.33182331,1.747694448,1.856951394,1.942699077,b,Class II,event,1
4/8/2023,157.9295033,683.5415,21.840088,56.246582,73.11035,204.72046,85.19350688,1.891538191,49.04608316,56.9291943,73.04512039,1.680171049,1.72946896,1.812069442,u,undefined,non_event,0
4/9/2023,42.26056675,88.440186,17.956787,31.181885,40.92871,49.204346,85.4524582,1.849510411,69.77434709,74.80932628,79.3455416,1.741874995,1.772673607,1.799740738,n,nonevent,non_event,0
4/11/2023,105.5708058,610.05176,24.409912,48.66802975,63.729736,91.7304675,59.29658694,2.1337118,47.01048618,51.01631255,55.17631026,1.96481944,2.026876712,2.072833333,b,Class II,event,1
4/12/2023,78.0998187,505.08667,30.031494,47.8701775,59.12671,79.02246,63.01228821,2.143892353,47.65944439,53.03719449,58.86500463,2.011874994,2.057590264,2.091402769,u,undefined,non_event,0
